source,target,weight
Abdera,Abdera,12
Abdera,Alabanda,4
Abdera,Bargylia,4
Abdera,Ephesos,6
Abdera,Halikarnassos,6
Abdera,Iasos,4
Abdera,KalchedonChalcedon,8
Abdera,Kaunos,10
Abdera,Klazomenai,10
Abdera,Kolophon,4
Abdera,Kos,6
Abdera,Kyme,4
Abdera,Maroneia,8
Abdera,Methymna,8
Abdera,Mytilene Lesbos,4
Abdera,Naxos,4
Abdera,Parium,16
Abdera,Paros,6
Abdera,Pergamon,6
Abdera,Priene,8
Abdera,Rhodes,8
Abdera,Samos,8
Abdera,Samothrace,2
Abdera,Stratonikeia,6
Abdera,Teos,2
Abdera,Thasos,4
Abydos,Abydos,170
Abydos,Odessos,3
"Aigai (Cilicia, per Robert)","Aigai (Cilicia, per Robert)",5
"Aigai (Cilicia, per Robert)",Alexandria,4
"Aigai (Cilicia, per Robert)",Byzantion,2
"Aigai (Cilicia, per Robert)",Chios Ins.,24
"Aigai (Cilicia, per Robert)",Dardanos,4
"Aigai (Cilicia, per Robert)",Eresos,4
"Aigai (Cilicia, per Robert)",Halikarnassos,8
"Aigai (Cilicia, per Robert)",Kyzikos,4
"Aigai (Cilicia, per Robert)",Magnesia ad MaeandrumLeukophrys,1
"Aigai (Cilicia, per Robert)",Myrina Lemnos,4
"Aigai (Cilicia, per Robert)",Nysa,2
"Aigai (Cilicia, per Robert)",Phokaia,4
"Aigai (Cilicia, per Robert)",Serrhai,1
"Aigai (Cilicia, per Robert)",Styberra,1
"Aigai (Cilicia, per Robert)",Thasos,1
"Aigai (Cilicia, per Robert)",TroyIlium,2
Ainos,Ainos,42
Alabanda,Alabanda,17
Alabanda,Astypalaia,3
Alabanda,Bargylia,4
Alabanda,Dardanos,4
Alabanda,Ephesos,16
Alabanda,Halikarnassos,4
Alabanda,Iasos,4
Alabanda,Kaunos,12
Alabanda,Keramos,4
Alabanda,Klazomenai,2
Alabanda,Kos,7
Alabanda,Kyme,4
Alabanda,Kyzikos,8
Alabanda,Lampsakos,4
Alabanda,Maroneia,4
Alabanda,Mytilene Lesbos,4
Alabanda,Naxos,4
Alabanda,Paros,6
Alabanda,Pergamon,6
Alabanda,Priene,4
Alabanda,Rhodes,12
